,user,text,classe
68,laverduu,Di negativo para covid-19😁,Positivo
69,revistaleia,Covid-19: qual o risco de contágio que cada atividade oferece? https://t.co/PtYGVMZGqW As atividades receberam notas de 1 (menos arriscada) e 10 (mais arriscada). Mas o instituto alerta que tudo depende das situações. #RevistaLeia,Neutro
70,OBIND_UnB,FUNAI: Covid-19: Funai distribui mais de 418 mil cestas a famílias indígenas do país https://t.co/dz0lb073RS,Positivo
71,jamiedornanbr,"""[...] nós pessoalmente não iriamos em um cinema, então não podemos encorajá-los a irem. Para nós, isso não é apenas sobre se sentir seguro no cinema, é também sobre a comunidade científica indicando que cinemas ainda são um perigo para a transmissão do COVID-19 [...]"" https://t.co/CGsltnsl65",Negativo
72,CandiaCrf,"Quase 130 mil brasileiros mortos pela COVID-19 e o despresidente tem a coragem de dizer que o Brasil foi um dos países que menos sofreu com a pandemia. Além de desrespeitar as TODAS as recomendações da OMS, desdenha do sofrimento de milhares de brasileiros. https://t.co/JXE3TosB97",Negativo
73,MarceloZelic,FUNAI: Covid-19: Funai distribui mais de 418 mil cestas a famílias indígenas do país https://t.co/ttQgdVH7bB,Positivo
74,CuiabanoNews,"Fred, do Fluminense, testa positivo para Covid-19 https://t.co/QLuyWi6QPR https://t.co/0zMofMcOru",Negativo
75,BetinhoLuis82,"@PandinhaTaLouca Como o @FluminenseFC vai respeitar o protocolo e fazer teste do CoVid 19, se nem tem dinheiro para pagar as contas, tem vender o almoço para comprar o jantar? 
Me expliquem, por favor. 
Pois tem vender jogador sub 17 para pagar salários do seu asilo.",Negativo
76,eduardojdowney,"""Covid-19: Número de pessoas rigorosamente isoladas cai, diz IBGE"" Parece que o pessoal daqui gosta de morrer https://t.co/RoBC02qSGd",Negativo
77,JovemPanNews,"OMS: Mundo ultrapassa 900 mil mortes por Covid-19.

https://t.co/S3icJvrJbq https://t.co/DkhPeko0gr",Negativo
78,flamengoemfoco,"Após enfrentar o Flamengo, Fred testa positivo para a Covid-19 https://t.co/iAjHiUhlKC via @MRN_CRF https://t.co/NTxAL9t9rL",Negativo
79,PlenoNews,"Atacante Fred, do Fluminense, testa positivo para Covid-19
https://t.co/E60FhSvpUH",Negativo
80,niharu00,"@Pararapi Menina eu vi uns atleta correndo sem máscara, de que adianta eles ficar fisicamente saudável se pegar covid-19 e morrer? -2 de qi",Negativo
81,JorgeLuizFortu9,@folha Qualquer vacina contra a covid-19 será fabricada em vão. O presidente Bolsonaro insiste em afirmar e garante que a cloroquina é quem cura. Que o diga seus fanáticos seguidores.,Negativo
82,ResumoNoticia,Covid-19: Norte e Noroeste contabilizam 846 mortes pela doença https://t.co/usizPR4sYk,Negativo
83,XeuleBot,@Costa28Danilo Estadão: (2 min) Covas afirma que aumento de casos de covid-19 entre classes A e B na capital paulista preocupa https://t.co/WNPGXDeQ8m,Negativo
84,bnjustica,Covid-19: Conselho da OAB-BA decide por retomada do Judiciário https://t.co/vnxGvrMxY4 https://t.co/VlaqjIdx8L,Neutro
85,rogerio_sinesio,Resultados preliminares na China confirmam eficácia de remédio russo contra Covid-19 https://t.co/X7kgBlIjJm,Positivo
86,studio877,#coronavírus #novabassano | Nova Bassano registra sete novos casos da Covid-19 nesta sexta-feira | Saiba mais em  https://t.co/XBxiihVDwV https://t.co/S8IhDipJeW,Negativo
87,sitetnonline1,É a segunda morte na semana  em consequência da doença. Na quarta-feira (9) foi registrada a morte de um homem https://t.co/qpozAurhvw,Negativo
88,paoloigna1,"Mappa del #Portogallo #Covid19. Há 53 municípios com infetados acima da média nacional, 29 no Norte https://t.co/N6l2aeDRUT",Negativo
89,sapo,"II Liga: Já com as duas equipas em campo, Feirense - Chaves é adiado após testes positivos à Covid-19 em atletas flavienses.

https://t.co/WJoNoHMYKJ https://t.co/ZRKbEagmHD",Neutro
90,carlinibh,Confira https://t.co/SIQ1XIXoud,Neutro
91,danthoni,"QUEM DIRIA NÃO É MESMO?????

https://t.co/Xg4FxikFtT",Neutro
92,bnsaude,Fiocruz e instituto australiano vão testar vacina da tuberculose contra Covid-19  https://t.co/y3OoWz041v https://t.co/tftmWKpemo,Neutro
93,NEBIC_,No encontro de hoje discutimos o paper do @ditongoo @barbara_tayanne e @AdrianAlbala sobre produção legislativa do Senado em tempos de COVID-19. https://t.co/t6aQdP7MVE,Neutro
94,ApenasFutebol14,"Uma vergonha o que aconteceu hoje em Santa Maria da Feira. O Chaves anunciou com 8h de antecedência os casos de COVID-19, e a DGS só toma posição quando tudo estava pronto para o início de jogo. Lamentável.",Negativo
95,BenvindaMar,"Alguém diga ao Cabrita que, estas medidas são ilegais!

https://t.co/n92MTs1YBl https://t.co/krmOh0NwN1",Negativo
96,PrefeituraSPA,"A Secretaria de Saúde de São Pedro da Aldeia liberou nesta sexta-feira (11) a atualização semanal do Boletim Coronavírus.
🖱 Para conferir o mapa, acesse: https://t.co/3aIQ8AKsJD https://t.co/P3ExqAJFZ5",Neutro
97,apolu_raveoli,"@UOLNoticias O Brasil eu não sei, mas mais de 120 mil brasileiros e suas famílias sim sofreram, inclusive minha avó, que morreu por covid-19.",Negativo
98,FatimaLandMary,"O cardeal Tagle, chefe da congregação de evangelização do Vaticano, testou positivo para coronavírus ,mas é assintomático.
O Vaticano confirmou em 11 de setembro que o cardeal  foi coletado e testado positivo para COVID-19 depois de pousar em Manila em 10 de setembro. https://t.co/WA537LdZXX",Negativo
99,abear_br,A @LATAM_BRA Cargo e Logenix concluem transporte de 1.000 ventiladores pulmonares para combate à COVID-19 no Brasil. https://t.co/D7z5PoCAwZ,Positivo
100,paranaportal,"HC amplia testes da CoronaVac, e mais 548 voluntários recebem vacina em Curitiba

https://t.co/yYM3YCvjHP",Positivo
101,RomaNewsOficial,"Prainha, Juruti e Jacareacanga têm as mais altas taxas de letalidade pela covid-19 no oeste do Pará
https://t.co/QfxU0X4Ygw",Negativo
102,EuAnaGabi,"Ter q ficar em casa ouvindo os pais dizendo q metade das mortes não foram por Covid-19 não tá sendo fácil,  sfd. Como pode as pessoas serem tão ?????? MDS, q ignorância e nem adianta falar nd",Negativo
103,GotasBlog,"#LutoUberaba
VICE-PREFEITO MORRE DE COVID-19
Duas semanas após ser internado no Hospital São Domingos com teste positivo para a Covid-19, o vice-prefeito de Uberaba, João Gilberto Ripposati, 59 anos,não resistiu. https://t.co/U5HZggOd60",Negativo
104,_ttinhoo,Tomou a vacina da Covid-19 aonde cria??,Neutro
105,radioculturafoz,"As vítimas são dois homens, de 65 e 70 anos, que possuíam comorbidades e não resistiram as complicações ocasionadas pelo novo Coronavírus. https://t.co/evCDmLR9nc",Negativo
106,heldersalomao,"Quase 130 mil brasileiros mortos pela COVID-19 e o despresidente tem a coragem de dizer que o Brasil foi um dos países que menos sofreu com a pandemia. Além de desrespeitar as TODAS as recomendações da OMS, desdenha do sofrimento de milhares de brasileiros.",Negativo
107,blogrobsonpires,"Assusta: Mais dois óbitos por Covid-19 registrados nesta sexta (11) em Caicó (RN)
https://t.co/aEyigWbqMn",Negativo
108,poxasabella13,Minha avó com 83 anos tá curada do covid-19 😍🙏🏻,Positivo
109,_exxonmobil5w30,"@derflecha ~cuba já lançou a vacina que cura covid-19, o capitalismo falhou~ https://t.co/B5JKaG44KV",Neutro
110,opopularmm,"Trânsito terá alteração próximo a Emeb, durante testes rápidos de Covid-19 https://t.co/vDWoPIOxjp https://t.co/Avbe5Folg6",Neutro
111,aratuonline,Prefeito é afastado das atividades para tratar Covid-19 e vereadores 'obrigam' o vice a assumir o cargo. Entenda em https://t.co/f3yZyEUb0i https://t.co/u2jsbnbEea,Neutro
112,BlogdoLago,"Boletim do Covid-19 de hoje, 11 de setembro, de Terra Roxa https://t.co/CgSnXqxPI1",Neutro
113,DanyMecat,"""O cordão de três dobras não se quebra tão de pressa.""

(Eclesiastes 4:12)

#casamento #AmorESorte #Deusémaravilhoso #Covid_19 https://t.co/Uhl8ABnlDG",Neutro
114,equipeecam,"Confira agora o último boletim epidemiológico divulgado pela CONAQ sobre a Covid-19 nos Quilombos do Brasil. Saiba mais em https://t.co/6xNAJRExE0!

#TodosContraaCovid19 #VidasQuilombolasImportam #Covid19

https://t.co/w5FU8RSkAl",Neutro
115,revistaSABADO,Desporto - Covid-19: Jogo entre Feirense e Chaves adiado após resultados positivos em flavienses https://t.co/a9BlX3GK7C,Negativo
116,maisfutebol,"II Liga: casos de covid-19 adiam Feirense-Chaves
https://t.co/sW7Y1fT5Rm https://t.co/RywzcE2aCg",Negativo
117,Estadao,Covas afirma que aumento de casos de covid-19 entre classes A e B na capital paulista preocupa https://t.co/IfAFnaYrtN,Negativo
118,BioAcs,"A IMPORTÂNCIA DOS ACS`s EM SITUAÇÃO DE PANDEMIA.

*  Deveriam ter sido os primeiros a serem chamados para conter a disseminação do COVID-19

LEIAM, DIVULGUEM E COMPARTILHEM, MATÉRIA MUITO INTERESSANTE !

CONFIRAM: https://t.co/TwiFG5BOLk https://t.co/0F7cP0SdLG",Neutro
119,sitetnonline1,Paraná registra 2.303 novos casos da Covid-19 https://t.co/R0p7FNN8VV,Negativo
120,JdLuxemburgo,"Luxemburgo/Covid-19: 21 hospitalizações, 1 nos cuidados intensivos! – 11 setembro https://t.co/Z65XGjX0z6",Neutro
121,echurbe,To com falta de ar. É Covid 19 ou um ataque de pânico devido a semana de estresse insuportável e tendências homicidas? https://t.co/LWYWB7z2Pf,Negativo
122,BlogdoLago,"Boletim do Covid-19 de hoje, 11 de setembro, de Guaíra https://t.co/wshza4PANS",Neutro
123,Tatarana,"@IvanValente @UOLNoticias ""COVID-19""

AGLOMERAÇÃO E CLOROQUINA.

EUA E BRASIL SÃO RESPONSÁVEIS POR 35% (319.788) DAS MORTES PELO CORONAVÍRUS OCORRIDAS NO MUNDO.

MUNDO = 905.181
EUA   = 191.094
BRASIL = 128.694

RÚSSIA, CHINA E CUBA COM ISOLAMENTO E VACINA JUNTAS SOMAM (23.000) 2,5%

#CariuaSemArrudeios",Neutro
124,correio_dopovo,"Fred testa positivo para Covid-19 e está fora da partida contra o Corinthians 

https://t.co/LKyZRxxW0C https://t.co/vyJT9ZDlp5",Negativo
125,Tatarana,"@UOLNoticias ""COVID-19""

AGLOMERAÇÃO E CLOROQUINA.

EUA E BRASIL SÃO RESPONSÁVEIS POR 35% (319.788) DAS MORTES PELO CORONAVÍRUS OCORRIDAS NO MUNDO.

MUNDO = 905.181
EUA   = 191.094
BRASIL = 128.694

RÚSSIA, CHINA E CUBA COM ISOLAMENTO E VACINA JUNTAS SOMAM (23.000) 2,5%

#CariuaSemArrudeios",Neutro
126,portalcatve,Toledo confirma novo óbito e mais 99 casos positivos de Covid-19 https://t.co/jIwv3SOI4R,Negativo
127,GuaribaAcontece,Boletim atualizado COVID-19 em Guariba https://t.co/udvo9ePgAP,Neutro
128,Tatarana,"@dejavoubrasil @GracieusaBrito ""COVID-19""

AGLOMERAÇÃO E CLOROQUINA.

EUA E BRASIL SÃO RESPONSÁVEIS POR 35% (319.788) DAS MORTES PELO CORONAVÍRUS OCORRIDAS NO MUNDO.

MUNDO = 905.181
EUA   = 191.094
BRASIL = 128.694

RÚSSIA, CHINA E CUBA COM ISOLAMENTO E VACINA JUNTAS SOMAM (23.000) 2,5%

#CariuaSemArrudeios",Neutro
129,Daniel_Cozac,"A prefeitura coloca um carro de som alertando o alto número de casos de COVID-19 duas semanas depois de um decreto autorizando o funcionamento dos bares.

Enfim, hipocrisia.",Negativo
130,portaoum,"LATAM Cargo e Logenix concluem transporte de 1.000 ventiladores pulmonares para combate à COVID-19 no Brasil.

Insumos fazem parte de doação do governo dos EUA e foram trazidos de Miami para São Paulo em seis voos entre junho e setembro #PortaoUm

https://t.co/ltgptsoZW1 https://t.co/Asp3RMIeCC",Positivo
131,JornalClarim,Covid-19: Araxá registra 27 casos em 24 horas :: https://t.co/zfibkXbx2d https://t.co/XbFfzwD1r0,Negativo
132,jjuniorbalbino,"De 40 a 60 por cento dos pacientes hospitalizados com Covid-19 apresentam sintomas neurológicos e psiquiátricos, disse o Dr. Robert Stevens, neurologista da Universidade Johns Hopkins.
 https://t.co/aqYTHfR3Rj",Negativo
133,ceres_jose,"@luciane0776 @PedroLac18 @canalCCore2 Tem alguns que relacionam a nicotina ocupando receptores para o vírus e outros que ligam a inflamação constante em fumantes com menor impacto da tempestade de citocinas que é a que causa principal das internações pela covid.

https://t.co/Kolsbs7Omb",Neutro
134,TvPrefeito,São João de Meriti realiza 13º Mutirão de Testes Rápidos para covid-19 https://t.co/0wcpoFCbCu,Neutro
135,OficialJBr,"Fred ficou de fora do jogo contra o São Paulo, domingo passado, no Morumbi, depois que sua mulher testou positivo para coronavírus
https://t.co/I8A8oLsR3Y",Negativo
136,brasil247,"Covid-19: todas as regiões de São Paulo passam para fase amarela
https://t.co/EeEIM58XBx",Neutro
137,jornaltocantins,#Pandemia: Funcionamento seguirá os protocolos de segurança adotados para combater a Covid-19 e feirantes atenderão das 16 às 22 horas https://t.co/Z4KojmdzW9,Neutro
138,cdemetrio_,"https://t.co/W0fsxtgkYy
Estudo estudo COVID-19 Consumer Study, da IBM:

52% desejam continuar trabalhando só em casa
25% desejam poder trabalhar de casa ocasionalmente
10% querem voltar a trabalhar todos os dias no escritório
36% estão comprando mais produtos feitos localmente https://t.co/jM38YasJf6",Neutro
139,renatomartins,"No dia em que o Brasil deve chegar à marca de 130 mil mortos pela covid-19, o presidente Jair Bolsonaro afirmou que o país está ""praticamente vencendo"" a pandemia e será um dos menos afetados do mundo pelas suas consequências econômicas. 🤔",Neutro
140,bondebrazil,"#Fred , do #Fluminense , testa positivo para #Covid19 | fluminense | ge https://t.co/bm149GyPkK",Negativo
141,PrefeituraMfa,"#covid-19
Mafra inicia ações para criação dos comitês escolares que farão parte do Plano de Contingência Municipal para a Educação https://t.co/j6aLSBf8Tn https://t.co/ctvEoSewQq",Neutro
142,o_parana,"No início da pandemia, Foz do Iguaçu contava com 30 leitos. Número que foi ampliado sempre que a ocupação ficava próximo dos 100%. Hoje, são 65 leitos exclusivos para o atendimento a pacientes com Covid-19 e, ainda assim, a ocupação tem ficado próximo ao… https://t.co/vfdstJWnFN",Neutro
143,apenasfel,Parece que o Rio de Janeiro foi o primeiro Estado do Brasil a eliminar o Covid-19. Parabéns prefeitura e governo do Estado!,Positivo
144,crffany,"fluminense: não quero jogar no maracanã pois tem hospital de campanha do lado 
fluminense também: escala um jogador com COVID-19 contra o flamengo",Neutro
145,cmjornal,Mundo - Turma da princesa Leonor de Espanha em quarentena após caso positivo de Covid-19 https://t.co/KcAa2iUnWD,Negativo
146,caiosantanard,@kamilly_men @tainasantanard Aii 😢💔.. pior que não sei se eles (pessoal da prefeitura/ secretaria mun de saúde) topariam fazer testes rápidos ou aceitar só quem teve covid-19 igual Fernando de Noronha rs,Neutro
147,bahianoar,Covid-19: todas as regiões de São Paulo estão na fase amarela https://t.co/SmKP59ztqH,Neutro
148,jornalnh,"ENTRETENIMENTO | Devido ao alto número de mortes por Covid-19, ainda não há previsão de retorno das sessões no Rio Grande do Sul.

https://t.co/hgfY9rKFUR",Negativo
149,Boatosorg,"Não é verdade que três jovens morreram após participarem de testes da vacina contra a Covid-19. Além de a história não ter muita lógica, autoridades negaram a informação. Entenda o caso aqui https://t.co/N9gf123mmB",Negativo
